11-14-04-52.361206,185.24,1242.11,0.94,0.06,2.50,0.00,0.00,96.50
11-14-04-55.466563,185.24,1242.11,0.97,0.03,2.53,0.00,0.00,96.47
11-14-04-58.572721,185.24,1242.11,1.00,0.03,2.60,0.06,0.00,96.31
11-14-05-01.678870,185.24,1242.11,0.94,0.03,2.54,0.00,0.00,96.49
11-14-05-04.785434,185.24,1242.11,0.91,0.03,2.63,0.00,0.00,96.43
11-14-05-07.881017,185.24,1242.11,0.97,0.06,2.59,0.00,0.00,96.37
11-14-05-10.983527,185.24,1242.11,1.00,0.03,2.50,0.00,0.00,96.47
11-14-05-14.087000,185.24,1242.11,1.13,0.03,2.44,0.03,0.00,96.37
11-14-05-17.197505,185.24,1242.11,1.03,0.03,2.38,0.00,0.00,96.56
11-14-05-20.308946,185.24,1242.11,1.00,0.06,2.41,0.00,0.00,96.52
11-14-05-23.410123,185.24,1242.10,1.06,0.03,2.44,0.00,0.00,96.46
11-14-05-26.521688,185.24,1242.10,0.97,0.06,2.38,0.00,0.00,96.59
11-14-05-29.627961,185.24,1242.10,1.00,0.03,2.41,0.00,0.00,96.55
11-14-05-32.739721,185.24,1242.10,0.88,0.03,2.51,0.00,0.00,96.59
11-14-05-35.843828,185.24,1242.10,1.00,0.03,2.35,0.00,0.00,96.62
11-14-05-38.950672,185.24,1242.10,0.97,0.03,2.41,0.00,0.00,96.59
11-14-05-42.055175,185.24,1242.10,1.00,0.03,2.38,0.00,0.00,96.59
11-14-05-45.160697,185.24,1242.10,1.00,0.03,2.38,0.03,0.00,96.55
11-14-05-48.261175,185.24,1242.10,1.00,0.00,2.41,0.00,0.00,96.59
11-14-05-51.370057,185.24,1242.10,1.00,0.03,2.35,0.00,0.00,96.62
