Linux 3.10.0-1062.9.1.el7.x86_64 (te05) 	08/11/20 	_x86_64_	(32 CPU)

14:04:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:04:53     all    0.94    0.06    2.53    0.00    0.00    0.00    0.00    0.00    0.00   96.47
14:04:54     all    1.10    0.06    2.79    0.09    0.00    0.03    0.00    0.00    0.00   95.93
14:04:55     all    1.06    0.06    2.44    0.00    0.00    0.00    0.00    0.00    0.00   96.43
14:04:56     all    0.97    0.03    2.57    0.00    0.00    0.00    0.00    0.00    0.00   96.43
14:04:57     all    1.06    0.03    2.85    0.00    0.00    0.00    0.00    0.00    0.00   96.06
14:04:58     all    1.06    0.06    2.47    0.00    0.00    0.00    0.00    0.00    0.00   96.40
14:04:59     all    1.03    0.03    2.57    0.06    0.00    0.00    0.00    0.00    0.00   96.31
14:05:00     all    1.09    0.06    2.85    0.00    0.00    0.03    0.00    0.00    0.00   95.96
14:05:01     all    0.97    0.03    2.50    0.00    0.00    0.00    0.00    0.00    0.00   96.50
14:05:02     all    1.10    0.03    2.69    0.00    0.00    0.03    0.00    0.00    0.00   96.15
14:05:03     all    1.10    0.03    2.82    0.00    0.00    0.00    0.00    0.00    0.00   96.06
14:05:04     all    1.00    0.06    2.53    0.00    0.00    0.00    0.00    0.00    0.00   96.40
14:05:05     all    0.94    0.03    2.63    0.03    0.00    0.00    0.00    0.00    0.00   96.37
14:05:06     all    1.06    0.06    2.82    0.00    0.00    0.00    0.00    0.00    0.00   96.06
14:05:07     all    0.97    0.03    2.53    0.06    0.00    0.00    0.00    0.00    0.00   96.40
14:05:08     all    1.03    0.03    2.56    0.00    0.00    0.00    0.00    0.00    0.00   96.37
14:05:09     all    1.09    0.06    2.85    0.00    0.00    0.03    0.00    0.00    0.00   95.96
14:05:10     all    1.00    0.03    2.56    0.00    0.00    0.00    0.00    0.00    0.00   96.40
14:05:11     all    0.97    0.03    2.66    0.00    0.00    0.00    0.00    0.00    0.00   96.34
14:05:12     all    1.13    0.03    2.78    0.00    0.00    0.03    0.00    0.00    0.00   96.03
14:05:13     all    1.06    0.06    2.44    0.00    0.00    0.00    0.00    0.00    0.00   96.44
14:05:14     all    1.10    0.03    2.47    0.00    0.00    0.00    0.00    0.00    0.00   96.40
14:05:15     all    1.16    0.03    2.72    0.03    0.00    0.03    0.00    0.00    0.00   96.03
14:05:16     all    0.94    0.06    2.50    0.00    0.00    0.03    0.00    0.00    0.00   96.47
14:05:17     all    1.06    0.03    2.47    0.00    0.00    0.00    0.00    0.00    0.00   96.43
14:05:18     all    1.16    0.00    2.69    0.00    0.00    0.00    0.00    0.00    0.00   96.15
14:05:19     all    0.91    0.06    2.60    0.00    0.00    0.00    0.00    0.00    0.00   96.43
14:05:20     all    1.00    0.06    2.53    0.00    0.00    0.00    0.00    0.00    0.00   96.40
14:05:21     all    1.03    0.03    2.57    0.00    0.00    0.03    0.00    0.00    0.00   96.34
14:05:22     all    1.00    0.00    2.54    0.00    0.00    0.00    0.00    0.00    0.00   96.46
14:05:23     all    0.97    0.03    2.41    0.00    0.00    0.00    0.00    0.00    0.00   96.59
14:05:24     all    1.13    0.03    2.48    0.00    0.00    0.00    0.00    0.00    0.00   96.36
14:05:25     all    1.06    0.03    2.79    0.06    0.00    0.00    0.00    0.00    0.00   96.05
14:05:26     all    1.00    0.00    2.41    0.00    0.00    0.00    0.00    0.00    0.00   96.59
14:05:27     all    1.03    0.06    2.44    0.00    0.00    0.00    0.00    0.00    0.00   96.46
14:05:28     all    1.03    0.03    2.73    0.00    0.00    0.00    0.00    0.00    0.00   96.21
14:05:29     all    0.94    0.00    2.41    0.00    0.00    0.00    0.00    0.00    0.00   96.65
14:05:30     all    1.03    0.03    2.38    0.00    0.00    0.00    0.00    0.00    0.00   96.55
14:05:31     all    1.10    0.03    2.76    0.00    0.00    0.00    0.00    0.00    0.00   96.12
14:05:32     all    1.06    0.03    2.32    0.00    0.00    0.00    0.00    0.00    0.00   96.59
